frame_id,timestamp,datetime_str,person_count,process_ms,boxes_json
1,1781445547.821278,2026-06-14 20:59:07,1,210.69,"[{""x1"": 138, ""y1"": 86, ""x2"": 577, ""y2"": 479, ""confidence"": 0.6912}]"
2,1781445548.1890328,2026-06-14 20:59:08,1,54.36,"[{""x1"": 130, ""y1"": 86, ""x2"": 592, ""y2"": 479, ""confidence"": 0.6804}]"
3,1781445548.3518682,2026-06-14 20:59:08,1,68.41,"[{""x1"": 141, ""y1"": 83, ""x2"": 609, ""y2"": 479, ""confidence"": 0.6441}]"
4,1781445548.5287976,2026-06-14 20:59:08,1,53.11,"[{""x1"": 125, ""y1"": 83, ""x2"": 574, ""y2"": 479, ""confidence"": 0.675}]"
5,1781445548.6895442,2026-06-14 20:59:08,1,50.9,"[{""x1"": 133, ""y1"": 86, ""x2"": 611, ""y2"": 479, ""confidence"": 0.6499}]"
6,1781445548.8480663,2026-06-14 20:59:08,1,47.01,"[{""x1"": 135, ""y1"": 90, ""x2"": 617, ""y2"": 479, ""confidence"": 0.6814}]"
7,1781445549.0039065,2026-06-14 20:59:09,1,51.14,"[{""x1"": 110, ""y1"": 88, ""x2"": 580, ""y2"": 479, ""confidence"": 0.6716}]"
8,1781445549.1758306,2026-06-14 20:59:09,1,47.23,"[{""x1"": 131, ""y1"": 86, ""x2"": 588, ""y2"": 479, ""confidence"": 0.6362}]"
9,1781445549.3310966,2026-06-14 20:59:09,1,51.19,"[{""x1"": 21, ""y1"": 88, ""x2"": 618, ""y2"": 479, ""confidence"": 0.6151}]"
10,1781445549.502596,2026-06-14 20:59:09,1,55.73,"[{""x1"": 135, ""y1"": 88, ""x2"": 602, ""y2"": 479, ""confidence"": 0.6667}]"
11,1781445549.665779,2026-06-14 20:59:09,1,67.48,"[{""x1"": 43, ""y1"": 92, ""x2"": 624, ""y2"": 479, ""confidence"": 0.6372}]"
12,1781445549.8467345,2026-06-14 20:59:09,1,44.46,"[{""x1"": 136, ""y1"": 84, ""x2"": 583, ""y2"": 479, ""confidence"": 0.5853}]"
13,1781445549.9999616,2026-06-14 20:59:09,1,46.17,"[{""x1"": 138, ""y1"": 78, ""x2"": 607, ""y2"": 479, ""confidence"": 0.6101}]"
14,1781445550.1533575,2026-06-14 20:59:10,1,44.72,"[{""x1"": 130, ""y1"": 82, ""x2"": 621, ""y2"": 479, ""confidence"": 0.657}]"
15,1781445550.3056226,2026-06-14 20:59:10,1,46.6,"[{""x1"": 122, ""y1"": 87, ""x2"": 547, ""y2"": 479, ""confidence"": 0.6567}]"
16,1781445550.4594374,2026-06-14 20:59:10,1,47.83,"[{""x1"": 104, ""y1"": 89, ""x2"": 640, ""y2"": 480, ""confidence"": 0.7075}]"
17,1781445550.614446,2026-06-14 20:59:10,2,42.95,"[{""x1"": 107, ""y1"": 90, ""x2"": 602, ""y2"": 480, ""confidence"": 0.6757}, {""x1"": 514, ""y1"": 129, ""x2"": 639, ""y2"": 478, ""confidence"": 0.6311}]"
18,1781445550.7649212,2026-06-14 20:59:10,2,56.75,"[{""x1"": 69, ""y1"": 90, ""x2"": 565, ""y2"": 480, ""confidence"": 0.5774}, {""x1"": 518, ""y1"": 126, ""x2"": 639, ""y2"": 477, ""confidence"": 0.5543}]"
19,1781445550.9283648,2026-06-14 20:59:10,2,48.22,"[{""x1"": 132, ""y1"": 85, ""x2"": 544, ""y2"": 479, ""confidence"": 0.6164}, {""x1"": 523, ""y1"": 118, ""x2"": 639, ""y2"": 478, ""confidence"": 0.5416}]"
20,1781445551.0834045,2026-06-14 20:59:11,1,59.87,"[{""x1"": 95, ""y1"": 86, ""x2"": 595, ""y2"": 479, ""confidence"": 0.7019}]"
21,1781445551.2509716,2026-06-14 20:59:11,1,45.57,"[{""x1"": 111, ""y1"": 92, ""x2"": 618, ""y2"": 479, ""confidence"": 0.6394}]"
22,1781445551.4044068,2026-06-14 20:59:11,1,47.71,"[{""x1"": 141, ""y1"": 91, ""x2"": 616, ""y2"": 479, ""confidence"": 0.6931}]"
23,1781445551.5596054,2026-06-14 20:59:11,1,44.72,"[{""x1"": 131, ""y1"": 92, ""x2"": 587, ""y2"": 479, ""confidence"": 0.6692}]"
24,1781445551.7115328,2026-06-14 20:59:11,1,44.54,"[{""x1"": 111, ""y1"": 85, ""x2"": 614, ""y2"": 479, ""confidence"": 0.608}]"
25,1781445551.863486,2026-06-14 20:59:11,1,64.4,"[{""x1"": 113, ""y1"": 86, ""x2"": 588, ""y2"": 479, ""confidence"": 0.6332}]"
26,1781445552.0365987,2026-06-14 20:59:12,1,47.28,"[{""x1"": 130, ""y1"": 84, ""x2"": 569, ""y2"": 479, ""confidence"": 0.6435}]"
27,1781445552.191841,2026-06-14 20:59:12,1,49.78,"[{""x1"": 134, ""y1"": 89, ""x2"": 616, ""y2"": 479, ""confidence"": 0.6799}]"
28,1781445552.348254,2026-06-14 20:59:12,1,48.02,"[{""x1"": 138, ""y1"": 81, ""x2"": 619, ""y2"": 479, ""confidence"": 0.7241}]"
29,1781445552.5081031,2026-06-14 20:59:12,1,69.98,"[{""x1"": 141, ""y1"": 79, ""x2"": 582, ""y2"": 479, ""confidence"": 0.7065}]"
30,1781445552.6975682,2026-06-14 20:59:12,1,53.15,"[{""x1"": 130, ""y1"": 92, ""x2"": 588, ""y2"": 479, ""confidence"": 0.7069}]"
31,1781445552.869638,2026-06-14 20:59:12,1,71.76,"[{""x1"": 134, ""y1"": 89, ""x2"": 618, ""y2"": 479, ""confidence"": 0.6947}]"
32,1781445553.0566761,2026-06-14 20:59:13,1,54.78,"[{""x1"": 131, ""y1"": 89, ""x2"": 625, ""y2"": 479, ""confidence"": 0.6744}]"
33,1781445553.2256496,2026-06-14 20:59:13,1,52.49,"[{""x1"": 140, ""y1"": 88, ""x2"": 598, ""y2"": 479, ""confidence"": 0.6875}]"
34,1781445553.3978815,2026-06-14 20:59:13,1,55.52,"[{""x1"": 137, ""y1"": 81, ""x2"": 598, ""y2"": 479, ""confidence"": 0.6301}]"
35,1781445553.5694904,2026-06-14 20:59:13,1,55.77,"[{""x1"": 127, ""y1"": 87, ""x2"": 570, ""y2"": 479, ""confidence"": 0.6367}]"
36,1781445553.7431514,2026-06-14 20:59:13,1,55.3,"[{""x1"": 110, ""y1"": 91, ""x2"": 576, ""y2"": 479, ""confidence"": 0.6342}]"
37,1781445553.9171834,2026-06-14 20:59:13,1,52.13,"[{""x1"": 132, ""y1"": 87, ""x2"": 602, ""y2"": 479, ""confidence"": 0.6154}]"
38,1781445554.08998,2026-06-14 20:59:14,1,50.01,"[{""x1"": 114, ""y1"": 84, ""x2"": 590, ""y2"": 479, ""confidence"": 0.6485}]"
39,1781445554.248537,2026-06-14 20:59:14,1,57.77,"[{""x1"": 140, ""y1"": 88, ""x2"": 616, ""y2"": 479, ""confidence"": 0.7299}]"
40,1781445554.4215102,2026-06-14 20:59:14,1,54.44,"[{""x1"": 138, ""y1"": 88, ""x2"": 630, ""y2"": 479, ""confidence"": 0.6244}]"
41,1781445554.5940132,2026-06-14 20:59:14,1,52.9,"[{""x1"": 137, ""y1"": 88, ""x2"": 624, ""y2"": 479, ""confidence"": 0.7292}]"
42,1781445554.7661748,2026-06-14 20:59:14,1,51.22,"[{""x1"": 115, ""y1"": 85, ""x2"": 599, ""y2"": 479, ""confidence"": 0.6777}]"
43,1781445554.939354,2026-06-14 20:59:14,1,53.1,"[{""x1"": 133, ""y1"": 85, ""x2"": 624, ""y2"": 479, ""confidence"": 0.6774}]"
44,1781445555.113205,2026-06-14 20:59:15,1,54.07,"[{""x1"": 139, ""y1"": 90, ""x2"": 625, ""y2"": 479, ""confidence"": 0.7042}]"
45,1781445555.285307,2026-06-14 20:59:15,1,54.4,"[{""x1"": 128, ""y1"": 91, ""x2"": 605, ""y2"": 479, ""confidence"": 0.6858}]"
46,1781445555.4565609,2026-06-14 20:59:15,1,51.28,"[{""x1"": 95, ""y1"": 89, ""x2"": 620, ""y2"": 479, ""confidence"": 0.6768}]"
47,1781445555.6295967,2026-06-14 20:59:15,1,54.33,"[{""x1"": 106, ""y1"": 80, ""x2"": 612, ""y2"": 479, ""confidence"": 0.6374}]"
48,1781445555.8013089,2026-06-14 20:59:15,1,56.38,"[{""x1"": 134, ""y1"": 88, ""x2"": 612, ""y2"": 479, ""confidence"": 0.6697}]"
49,1781445555.973813,2026-06-14 20:59:15,1,52.35,"[{""x1"": 99, ""y1"": 85, ""x2"": 603, ""y2"": 479, ""confidence"": 0.6058}]"
50,1781445556.1431448,2026-06-14 20:59:16,1,64.14,"[{""x1"": 130, ""y1"": 82, ""x2"": 615, ""y2"": 479, ""confidence"": 0.6729}]"
51,1781445556.3142824,2026-06-14 20:59:16,1,50.09,"[{""x1"": 139, ""y1"": 85, ""x2"": 605, ""y2"": 479, ""confidence"": 0.6817}]"
52,1781445556.4864802,2026-06-14 20:59:16,1,51.65,"[{""x1"": 134, ""y1"": 89, ""x2"": 615, ""y2"": 479, ""confidence"": 0.7191}]"
53,1781445556.6588078,2026-06-14 20:59:16,1,52.76,"[{""x1"": 130, ""y1"": 92, ""x2"": 628, ""y2"": 479, ""confidence"": 0.6734}]"
54,1781445556.8313653,2026-06-14 20:59:16,1,49.53,"[{""x1"": 130, ""y1"": 85, ""x2"": 608, ""y2"": 479, ""confidence"": 0.7278}]"
55,1781445556.988288,2026-06-14 20:59:16,1,53.19,"[{""x1"": 88, ""y1"": 92, ""x2"": 605, ""y2"": 480, ""confidence"": 0.6983}]"
56,1781445557.161651,2026-06-14 20:59:17,1,56.61,"[{""x1"": 136, ""y1"": 98, ""x2"": 599, ""y2"": 479, ""confidence"": 0.754}]"
57,1781445557.331461,2026-06-14 20:59:17,1,54.24,"[{""x1"": 129, ""y1"": 83, ""x2"": 614, ""y2"": 479, ""confidence"": 0.632}]"
58,1781445557.503226,2026-06-14 20:59:17,1,48.77,"[{""x1"": 114, ""y1"": 87, ""x2"": 586, ""y2"": 479, ""confidence"": 0.6287}]"
59,1781445557.6746497,2026-06-14 20:59:17,1,51.06,"[{""x1"": 91, ""y1"": 82, ""x2"": 607, ""y2"": 479, ""confidence"": 0.6635}]"
60,1781445557.846759,2026-06-14 20:59:17,1,49.6,"[{""x1"": 123, ""y1"": 83, ""x2"": 616, ""y2"": 479, ""confidence"": 0.6754}]"
61,1781445558.0189533,2026-06-14 20:59:18,1,52.71,"[{""x1"": 17, ""y1"": 86, ""x2"": 622, ""y2"": 479, ""confidence"": 0.6539}]"
62,1781445558.1910555,2026-06-14 20:59:18,1,54.51,"[{""x1"": 124, ""y1"": 86, ""x2"": 609, ""y2"": 479, ""confidence"": 0.6041}]"
63,1781445558.364094,2026-06-14 20:59:18,1,49.34,"[{""x1"": 139, ""y1"": 88, ""x2"": 607, ""y2"": 479, ""confidence"": 0.6888}]"
64,1781445558.5227716,2026-06-14 20:59:18,1,55.52,"[{""x1"": 102, ""y1"": 86, ""x2"": 593, ""y2"": 479, ""confidence"": 0.6275}]"
65,1781445558.6951287,2026-06-14 20:59:18,1,50.16,"[{""x1"": 132, ""y1"": 89, ""x2"": 613, ""y2"": 479, ""confidence"": 0.6628}]"
66,1781445558.867376,2026-06-14 20:59:18,1,51.91,"[{""x1"": 137, ""y1"": 86, ""x2"": 611, ""y2"": 479, ""confidence"": 0.7088}]"
67,1781445559.0398383,2026-06-14 20:59:19,1,52.52,"[{""x1"": 133, ""y1"": 90, ""x2"": 624, ""y2"": 479, ""confidence"": 0.7206}]"
68,1781445559.2132068,2026-06-14 20:59:19,1,53.61,"[{""x1"": 113, ""y1"": 89, ""x2"": 604, ""y2"": 479, ""confidence"": 0.6328}]"
69,1781445559.387748,2026-06-14 20:59:19,1,64.26,"[{""x1"": 138, ""y1"": 87, ""x2"": 612, ""y2"": 479, ""confidence"": 0.6495}]"
70,1781445559.5620964,2026-06-14 20:59:19,1,52.54,"[{""x1"": 118, ""y1"": 90, ""x2"": 580, ""y2"": 479, ""confidence"": 0.6747}]"
71,1781445559.7353737,2026-06-14 20:59:19,1,51.06,"[{""x1"": 98, ""y1"": 85, ""x2"": 604, ""y2"": 479, ""confidence"": 0.6624}]"
72,1781445559.9068398,2026-06-14 20:59:19,1,50.87,"[{""x1"": 114, ""y1"": 87, ""x2"": 579, ""y2"": 479, ""confidence"": 0.6054}]"
73,1781445560.0783095,2026-06-14 20:59:20,1,58.27,"[{""x1"": 130, ""y1"": 78, ""x2"": 621, ""y2"": 480, ""confidence"": 0.7001}]"
74,1781445560.251978,2026-06-14 20:59:20,1,51.45,"[{""x1"": 127, ""y1"": 88, ""x2"": 575, ""y2"": 479, ""confidence"": 0.6484}]"
75,1781445560.4235528,2026-06-14 20:59:20,1,67.53,"[{""x1"": 120, ""y1"": 85, ""x2"": 574, ""y2"": 479, ""confidence"": 0.6567}]"
76,1781445560.6106653,2026-06-14 20:59:20,1,56.21,"[{""x1"": 128, ""y1"": 82, ""x2"": 582, ""y2"": 479, ""confidence"": 0.673}]"
77,1781445560.781407,2026-06-14 20:59:20,1,56.08,"[{""x1"": 23, ""y1"": 86, ""x2"": 619, ""y2"": 479, ""confidence"": 0.6724}]"
78,1781445560.9551647,2026-06-14 20:59:20,1,48.64,"[{""x1"": 104, ""y1"": 87, ""x2"": 592, ""y2"": 480, ""confidence"": 0.6599}]"
79,1781445561.1136372,2026-06-14 20:59:21,1,50.89,"[{""x1"": 137, ""y1"": 80, ""x2"": 608, ""y2"": 479, ""confidence"": 0.6777}]"
80,1781445561.2864175,2026-06-14 20:59:21,1,53.75,"[{""x1"": 119, ""y1"": 91, ""x2"": 620, ""y2"": 479, ""confidence"": 0.678}]"
81,1781445561.4561272,2026-06-14 20:59:21,1,53.68,"[{""x1"": 136, ""y1"": 86, ""x2"": 624, ""y2"": 479, ""confidence"": 0.6841}]"
82,1781445561.6260247,2026-06-14 20:59:21,1,54.85,"[{""x1"": 107, ""y1"": 90, ""x2"": 612, ""y2"": 479, ""confidence"": 0.6753}]"
83,1781445561.7970033,2026-06-14 20:59:21,1,51.19,"[{""x1"": 132, ""y1"": 76, ""x2"": 622, ""y2"": 479, ""confidence"": 0.6705}]"
